Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C45,2.2uF,C_0402_1005Metric,113.5634,-71.2724,0.0,top
C46,100nF,C_0402_1005Metric,104.5464,-102.9462,180.0,top
C47,10uF,C_0805_2012Metric,104.5464,-100.3554,180.0,top
C48,100nF,C_0402_1005Metric,172.4152,-69.6214,0.0,top
C49,10nF,C_0402_1005Metric,172.974,-63.2714,180.0,top
C5,10uF,C_1206_3216Metric,118.0242,-100.493266,180.0,top
C50,22nF,C_0402_1005Metric,177.2666,-65.6844,90.0,top
C51,100nF,C_0402_1005Metric,172.4152,-80.3402,0.0,top
C52,10nF,C_0402_1005Metric,172.974,-73.9902,180.0,top
C53,22nF,C_0402_1005Metric,177.2666,-76.4032,90.0,top
C54,100nF,C_0402_1005Metric,172.4152,-102.2096,0.0,top
C55,10nF,C_0402_1005Metric,172.974,-95.8596,180.0,top
C56,4.7uF,C_0402_1005Metric,91.6686,-101.9428,180.0,top
C57,100nF,C_0402_1005Metric,91.6686,-102.9716,180.0,top
C58,10uF,C_0805_2012Metric,91.6686,-100.3554,180.0,top
C59,22nF,C_0402_1005Metric,177.2666,-98.2726,90.0,top
C6,10uF,C_1206_3216Metric,118.0242,-98.0492,180.0,top
C60,100nF,C_0402_1005Metric,160.8328,-69.6468,0.0,top
C61,10nF,C_0402_1005Metric,161.3916,-63.2968,180.0,top
C62,22nF,C_0402_1005Metric,165.6842,-65.7098,90.0,top
C63,100nF,C_0402_1005Metric,160.8328,-91.2368,0.0,top
C64,10nF,C_0402_1005Metric,161.3916,-84.8868,180.0,top
C65,22nF,C_0402_1005Metric,165.6842,-87.2998,90.0,top
C66,100nF,C_0402_1005Metric,160.8328,-102.235,0.0,top
C67,10nF,C_0402_1005Metric,161.3916,-95.885,180.0,top
C68,22nF,C_0402_1005Metric,165.6842,-98.298,90.0,top
C69,100nF,C_0402_1005Metric,149.0218,-69.6468,0.0,top
C7,100nF,C_0402_1005Metric,118.1994,-96.2966,180.0,top
C70,10nF,C_0402_1005Metric,149.5806,-63.2968,180.0,top
C71,22nF,C_0402_1005Metric,153.8732,-65.7098,90.0,top
C72,100nF,C_0402_1005Metric,172.4152,-91.2114,0.0,top
C73,10nF,C_0402_1005Metric,172.974,-84.8614,180.0,top
C74,22nF,C_0402_1005Metric,177.2666,-87.2744,90.0,top
C75,100nF,C_0402_1005Metric,149.0218,-91.2368,0.0,top
C76,10nF,C_0402_1005Metric,149.5806,-84.8868,180.0,top
C77,22nF,C_0402_1005Metric,153.8732,-87.2998,90.0,top
C78,100nF,C_0402_1005Metric,160.7566,-112.0696,0.0,top
C79,10nF,C_0402_1005Metric,161.3154,-105.7196,180.0,top
C8,220uF,CP_Elec_6.3x5.4,127.0158,-86.8478,90.0,top
C80,22nF,C_0402_1005Metric,165.608,-108.1326,90.0,top
C81,100nF,C_0402_1005Metric,172.4914,-111.7648,0.0,top
C82,10nF,C_0402_1005Metric,173.0502,-105.4148,180.0,top
C83,22nF,C_0402_1005Metric,177.3428,-107.8278,90.0,top
C84,100nF,C_0402_1005Metric,160.8328,-80.3656,0.0,top
C85,10nF,C_0402_1005Metric,161.3916,-74.0156,180.0,top
C86,22nF,C_0402_1005Metric,165.6842,-76.4286,90.0,top
C87,100nF,C_0402_1005Metric,149.0218,-80.3656,0.0,top
C88,10nF,C_0402_1005Metric,149.5806,-74.0156,180.0,top
C89,22nF,C_0402_1005Metric,153.8732,-76.4286,90.0,top
C9,220uF,CP_Elec_6.3x5.4,127.1936,-102.3418,-90.0,top
D1,D_Schottky,D_SOD-323,122.012,-93.5534,90.0,top
D2,LED,LED_0603_1608Metric,133.2444,-103.2256,-90.0,top
D3,LED_RED,LED_0603_1608Metric,133.731,-58.801,180.0,top
D4,LED_RED,LED_0603_1608Metric,133.731,-57.023,180.0,top
D5,LED_GREEN,LED_0603_1608Metric,120.5484,-80.137,0.0,top
D6,LED_WHITE,LED_0402_1005Metric,101.981,-87.787,90.0,top
D7,LED_WHITE,LED_0402_1005Metric,103.124,-87.789,90.0,top
D8,LED_WHITE,LED_0402_1005Metric,104.267,-87.785,90.0,top
D9,LED_GREEN,LED_0603_1608Metric,132.6856,-113.9406,90.0,top
FB1,FerriteBead_Small,L_0805_2012Metric,119.4466,-106.0418,90.0,top
FB2,FerriteBead_Small,L_0805_2012Metric,141.9961,-108.738,180.0,top
J1,Conn_01x02,Molex_KK-396_A-41792-0002_1x02_P3.96mm_Horizontal,165.804,-116.5226,180.0,top
J2,Conn_01x02,Molex_KK-396_A-41792-0002_1x02_P3.96mm_Horizontal,155.2182,-116.5226,180.0,top
J20,09564527612,09564527612,187.3758,-89.8603,-90.0,top
J3,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,80.137,-90.3986,180.0,top
J4,DB25_Receptacle_MountingHoles,TE_5747846-4,104.5978,-115.697,0.0,top
J5,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,114.427,-56.769,-90.0,top
J6,Conn_01x06,CONN_A-7478-06A_MOL,140.8684,-118.9868,0.0,top
J7,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,80.137,-76.1492,0.0,top
L1,56uH,L_Changjiang_FNR5020S,125.9236,-94.5948,0.0,top
L2,6.8uH,L_Chilisin_BMRF00101040,137.5918,-90.805,90.0,top
L3,100uH,L_0603_1608Metric,92.0749,-82.03235,0.0,top
R1,100k,R_0402_1005Metric,117.9988,-105.3794,90.0,top
R10,10k,R_0402_1005Metric,146.9116,-99.118932,0.0,top
R11,3.01k,R_0402_1005Metric,141.0666,-100.2096,-90.0,top
R12,10k,R_0402_1005Metric,89.027,-65.5828,0.0,top
R13,10,R_0402_1005Metric,91.6494,-80.137,180.0,top
R14,11k,R_0402_1005Metric,89.027,-63.3984,0.0,top
R15,1k,R_0402_1005Metric,131.129,-58.547,0.0,top
R16,442,R_0402_1005Metric,93.8806,-76.2508,0.0,top
R17,1k,R_0402_1005Metric,131.129,-57.277,0.0,top
R18,100,R_0402_1005Metric,120.2457,-81.6102,0.0,top
R19,220,R_0402_1005Metric,101.981,-90.043,-90.0,top
R2,10k,R_0402_1005Metric,121.419,-84.6546,-90.0,top
R20,220,R_0402_1005Metric,103.124,-90.045,-90.0,top
R21,220,R_0402_1005Metric,104.267,-90.043,-90.0,top
R22,49.9,R_0402_1005Metric,95.6564,-83.8962,-90.0,top
R23,220,R_0402_1005Metric,132.3594,-117.3206,-90.0,top
R26,0,R_0402_1005Metric,108.8116,-105.7656,0.0,top
R27,4.7k,R_0402_1005Metric,109.4994,-107.8738,90.0,top
R28,4.7k,R_0402_1005Metric,108.331,-107.8738,90.0,top
R29,4.7k,R_0402_1005Metric,107.4928,-102.8954,0.0,top
R3,18k,R_0402_1005Metric,116.932,-105.3794,-90.0,top
R31,0,R_0402_1005Metric,95.8322,-105.8926,0.0,top
R32,2.2k,R_0402_1005Metric,163.7398,-57.3786,0.0,top
R33,220,R_0402_1005Metric,163.7378,-58.4454,180.0,top
R34,4.7k,R_0402_1005Metric,94.488,-102.9208,0.0,top
R35,330m,R_0402_1005Metric,169.7736,-68.326,-90.0,top
R36,10k,R_0402_1005Metric,172.9486,-64.262,0.0,top
R37,330m,R_0402_1005Metric,175.1838,-68.324,-90.0,top
R38,1k,R_0402_1005Metric,175.7426,-66.1924,0.0,top
R39,10k,R_0402_1005Metric,175.7172,-65.1256,0.0,top
R4,5.9k,R_0402_1005Metric,120.234,-84.638,90.0,top
R40,330m,R_0402_1005Metric,169.7736,-79.0448,-90.0,top
R41,10k,R_0402_1005Metric,172.9486,-74.9808,0.0,top
R42,330m,R_0402_1005Metric,175.1838,-79.0428,-90.0,top
R43,1k,R_0402_1005Metric,175.7426,-76.9112,0.0,top
R44,10k,R_0402_1005Metric,175.7172,-75.8444,0.0,top
R45,330m,R_0402_1005Metric,169.7736,-100.9142,-90.0,top
R46,10k,R_0402_1005Metric,172.9486,-96.8502,0.0,top
R47,330m,R_0402_1005Metric,175.1838,-100.9122,-90.0,top
R48,1k,R_0402_1005Metric,175.7426,-98.7806,0.0,top
R49,10k,R_0402_1005Metric,175.7172,-97.7138,0.0,top
